pot,num_seeds,weight_seeds_mg,avg_weight_seed,seed_type,focal_species,background_species,background_density,treatment,notes
98,288,151.63,0.526493056,unwinged,PLCO,PLCO,4,Well-watered,
99,59,29.31,0.496779661,unwinged,PLCO,PLCO,4,Well-watered,
100,113,50.56,0.447433628,unwinged,PLCO,PLCO,4,Well-watered,
101,160,82.24,0.514,unwinged,PLCO,PLCO,10,Well-watered,
102,117,42.18,0.360512821,unwinged,PLCO,PLCO,10,Well-watered,
103,107,51.26,0.479065421,unwinged,PLCO,PLCO,10,Well-watered,
104,31,17.08,0.550967742,unwinged,PLCO,PLCO,10,Well-watered,
105,57,28.35,0.497368421,unwinged,PLCO,PLCO,10,Well-watered,
106,19,9.42,0.495789474,unwinged,PLCO,PLCO,10,Well-watered,
107,84,29.42,0.350238095,unwinged,PLCO,PLCO,10,Well-watered,
108,38,13.07,0.343947368,unwinged,PLCO,PLCO,10,Well-watered,
109,80,22.7,0.28375,unwinged,PLCO,PLCO,20,Well-watered,
110,37,19.84,0.536216216,unwinged,PLCO,PLCO,20,Well-watered,
111,44,16.85,0.382954545,unwinged,PLCO,PLCO,20,Well-watered,
113,48,21.33,0.444375,unwinged,PLCO,PLCO,20,Well-watered,
114,16,11.83,0.739375,unwinged,PLCO,PLCO,20,Well-watered,
115,22,14.49,0.658636364,unwinged,PLCO,PLCO,20,Well-watered,
116,55,19.53,0.355090909,unwinged,PLCO,PLCO,20,Well-watered,
117,9,1.61,0.178888889,unwinged,PLCO,VALO,4,Well-watered,
118,214,73.73,0.34453271,unwinged,PLCO,VALO,4,Well-watered,
119,78,36.73,0.470897436,unwinged,PLCO,VALO,4,Well-watered,
120,87,36.53,0.419885057,unwinged,PLCO,VALO,4,Well-watered,
121,97,64.76,0.667628866,winged,PLCO,VALO,4,Well-watered,
122,172,83,0.48255814,unwinged,PLCO,VALO,4,Well-watered,
123,47,16.75,0.356382979,unwinged,PLCO,VALO,4,Well-watered,
124,350,125.59,0.358828571,unwinged,PLCO,VALO,4,Well-watered,
125,78,43.35,0.555769231,winged,PLCO,VALO,4,Well-watered,
126,150,53.8,0.358666667,unwinged,PLCO,VALO,4,Well-watered,
127,70,57.37,0.819571429,winged,PLCO,VALO,4,Well-watered,
128,172,69.02,0.40127907,unwinged,PLCO,VALO,4,Well-watered,
129,85,35.23,0.414470588,unwinged,PLCO,VALO,10,Well-watered,
130,55,26.05,0.473636364,unwinged,PLCO,VALO,10,Well-watered,
131,147,83.79,0.57,unwinged,PLCO,VALO,10,Well-watered,
132,158,78.73,0.498291139,unwinged,PLCO,VALO,10,Well-watered,
133,41,22.45,0.547560976,unwinged,PLCO,VALO,10,Well-watered,
134,48,20.26,0.422083333,unwinged,PLCO,VALO,10,Well-watered,
135,41,21.85,0.532926829,unwinged,PLCO,VALO,10,Well-watered,
136,83,71.25,0.858433735,winged,PLCO,VALO,10,Well-watered,
137,74,42.45,0.573648649,unwinged,PLCO,VALO,20,Well-watered,
138,5,1.77,0.354,unwinged,PLCO,VALO,20,Well-watered,
139,40,22.47,0.56175,unwinged,PLCO,VALO,20,Well-watered,
140,6,1.69,0.281666667,unwinged,PLCO,VALO,20,Well-watered,
141,115,61.58,0.535478261,unwinged,PLCO,VALO,20,Well-watered,
142,208,86.49,0.415817308,unwinged,PLCO,VALO,20,Well-watered,
143,15,4.74,0.316,unwinged,PLCO,VALO,20,Well-watered,
144,95,41.37,0.435473684,unwinged,PLCO,VALO,20,Well-watered,
145,541,638.52,1.18025878,,VALO,PLCO,0,Drought-stressed,
146,525,493.33,0.93967619,,VALO,PLCO,0,Drought-stressed,
147,357,378.05,1.058963585,,VALO,PLCO,0,Drought-stressed,
148,736,744.62,1.011711957,,VALO,PLCO,0,Drought-stressed,
149,525,575.6,1.096380952,,VALO,PLCO,0,Drought-stressed,
150,376,455.5,1.21143617,,VALO,PLCO,0,Drought-stressed,
151,542,455.5,0.840405904,,VALO,PLCO,0,Drought-stressed,
