"","Site","Area","Transect","Plot","Subplot","instance","moisture","new.col","plot_id"
"399","Thetis",NA,"3",2,"A","soil.moisture.1.12cm..1m.2.",NA,7,"50"
"401","Thetis",NA,"3",3,"A","soil.moisture.1.12cm..1m.2.",NA,1,"51"
"402","Thetis",NA,"3",3,"B","soil.moisture.1.12cm..1m.2.",NA,2,"51"
"403","Thetis",NA,"4",1,"A","soil.moisture.1.12cm..1m.2.",NA,3,"51"
"404","Thetis",NA,"4",1,"B","soil.moisture.1.12cm..1m.2.",NA,4,"51"
"405","Thetis",NA,"4",2,"A","soil.moisture.1.12cm..1m.2.",NA,5,"51"
"407","Thetis",NA,"4",3,"A","soil.moisture.1.12cm..1m.2.",NA,7,"51"
"409","Thetis",NA,"5",1,"A","soil.moisture.1.12cm..1m.2.",NA,1,"52"
"410","Thetis",NA,"5",1,"B","soil.moisture.1.12cm..1m.2.",NA,2,"52"
"411","Thetis",NA,"5",2,"A","soil.moisture.1.12cm..1m.2.",NA,3,"52"
"412","Thetis",NA,"5",2,"B","soil.moisture.1.12cm..1m.2.",NA,4,"52"
"413","Thetis",NA,"5",3,"A","soil.moisture.1.12cm..1m.2.",NA,5,"52"
"415","Cowichan","Collins Field","1",1,"A","soil.moisture.2.12cm..1m.2.",23.8,7,"52"
"417","Cowichan","Collins Field","1",2,"A","soil.moisture.2.12cm..1m.2.",23.3,1,"53"
"418","Cowichan","Collins Field","1",2,"B","soil.moisture.2.12cm..1m.2.",23.3,2,"53"
"419","Cowichan","Collins Field","1",3,"A","soil.moisture.2.12cm..1m.2.",14.4,3,"53"
"420","Cowichan","Collins Field","1",3,"B","soil.moisture.2.12cm..1m.2.",14.4,4,"53"
"421","Cowichan","Collins Field","2",1,"A","soil.moisture.2.12cm..1m.2.",NA,5,"53"
"423","Cowichan","Collins Field","2",2,"A","soil.moisture.2.12cm..1m.2.",NA,7,"53"
"425","Cowichan","Collins Field","2",3,"A","soil.moisture.2.12cm..1m.2.",NA,1,"54"
"426","Cowichan","Collins Field","2",3,"B","soil.moisture.2.12cm..1m.2.",NA,2,"54"
"427","Cowichan","Collins Field","3",1,"A","soil.moisture.2.12cm..1m.2.",20.8,3,"54"
"428","Cowichan","Collins Field","3",1,"B","soil.moisture.2.12cm..1m.2.",20.8,4,"54"
"429","Cowichan","Collins Field","3",2,"A","soil.moisture.2.12cm..1m.2.",22.8,5,"54"
"431","Cowichan","Collins Field","3",3,"A","soil.moisture.2.12cm..1m.2.",20.3,7,"54"
"433","Cowichan","Collins Field","4",1,"A","soil.moisture.2.12cm..1m.2.",29.7,1,"55"
"434","Cowichan","Collins Field","4",1,"B","soil.moisture.2.12cm..1m.2.",29.7,2,"55"
"435","Cowichan","Collins Field","4",2,"A","soil.moisture.2.12cm..1m.2.",35.5,3,"55"
"436","Cowichan","Collins Field","4",2,"B","soil.moisture.2.12cm..1m.2.",35.5,4,"55"
"437","Cowichan","Collins Field","4",3,"A","soil.moisture.2.12cm..1m.2.",15.9,5,"55"
"439","Cowichan","Drought Shelter Field","1",1,"A","soil.moisture.2.12cm..1m.2.",NA,7,"55"
"441","Cowichan","Drought Shelter Field","1",2,"A","soil.moisture.2.12cm..1m.2.",NA,1,"56"
"442","Cowichan","Drought Shelter Field","1",2,"B","soil.moisture.2.12cm..1m.2.",NA,2,"56"
"443","Cowichan","Drought Shelter Field","1",3,"A","soil.moisture.2.12cm..1m.2.",NA,3,"56"
"444","Cowichan","Drought Shelter Field","1",3,"B","soil.moisture.2.12cm..1m.2.",NA,4,"56"
"445","Cowichan","Drought Shelter Field","2",1,"B","soil.moisture.2.12cm..1m.2.",NA,5,"56"
"447","Cowichan","Drought Shelter Field","2",2,"B","soil.moisture.2.12cm..1m.2.",NA,7,"56"
"449","Cowichan","Drought Shelter Field","2",3,"B","soil.moisture.2.12cm..1m.2.",NA,1,"57"
"450","Cowichan","Drought Shelter Field","3",1,"A","soil.moisture.2.12cm..1m.2.",NA,2,"57"
"451","Cowichan","Drought Shelter Field","3",1,"B","soil.moisture.2.12cm..1m.2.",NA,3,"57"
"452","Cowichan","Drought Shelter Field","3",2,"A","soil.moisture.2.12cm..1m.2.",NA,4,"57"
"453","Cowichan","Drought Shelter Field","3",2,"B","soil.moisture.2.12cm..1m.2.",NA,5,"57"
"455","Cowichan","Drought Shelter Field","3",3,"B","soil.moisture.2.12cm..1m.2.",NA,7,"57"
"457","Cowichan","Drought Shelter Field","4",1,"B","soil.moisture.2.12cm..1m.2.",NA,1,"58"
"458","Cowichan","Drought Shelter Field","4",2,"A","soil.moisture.2.12cm..1m.2.",NA,2,"58"
"459","Cowichan","Drought Shelter Field","4",2,"B","soil.moisture.2.12cm..1m.2.",NA,3,"58"
"460","Cowichan","Drought Shelter Field","4",3,"A","soil.moisture.2.12cm..1m.2.",NA,4,"58"
"461","Cowichan","Drought Shelter Field","4",3,"B","soil.moisture.2.12cm..1m.2.",NA,5,"58"
"463","Cowichan","Drought Shelter Field","5",1,"B","soil.moisture.2.12cm..1m.2.",23.3,7,"58"
"465","Cowichan","Drought Shelter Field","5",2,"B","soil.moisture.2.12cm..1m.2.",10.5,1,"59"
"466","Cowichan","Drought Shelter Field","5",3,"A","soil.moisture.2.12cm..1m.2.",NA,2,"59"
"467","Cowichan","Drought Shelter Field","5",3,"B","soil.moisture.2.12cm..1m.2.",NA,3,"59"
"468","Cowichan","Drought Shelter Field","6",1,"A","soil.moisture.2.12cm..1m.2.",34.6,4,"59"
"469","Cowichan","Drought Shelter Field","6",1,"B","soil.moisture.2.12cm..1m.2.",34.6,5,"59"
"471","Cowichan","Drought Shelter Field","6",2,"B","soil.moisture.2.12cm..1m.2.",NA,7,"59"
"473","Cowichan","Drought Shelter Field","6",3,"B","soil.moisture.2.12cm..1m.2.",23.8,1,"60"
"474","Cowichan","Drought Shelter Field","7",1,"A","soil.moisture.2.12cm..1m.2.",31.1,2,"60"
"475","Cowichan","Drought Shelter Field","7",1,"B","soil.moisture.2.12cm..1m.2.",31.1,3,"60"
"476","Cowichan","Drought Shelter Field","7",2,"A","soil.moisture.2.12cm..1m.2.",25.7,4,"60"
"477","Cowichan","Drought Shelter Field","7",2,"B","soil.moisture.2.12cm..1m.2.",25.7,5,"60"
"479","Cowichan","Drought Shelter Field","7",3,"B","soil.moisture.2.12cm..1m.2.",26.7,7,"60"
"481","Cowichan","Roadside","1",1,"B","soil.moisture.2.12cm..1m.2.",NA,1,"61"
"482","Cowichan","Roadside","1",2,"A","soil.moisture.2.12cm..1m.2.",NA,2,"61"
"483","Cowichan","Roadside","1",2,"B","soil.moisture.2.12cm..1m.2.",NA,3,"61"
"484","Cowichan","Roadside","1",3,"A","soil.moisture.2.12cm..1m.2.",NA,4,"61"
"485","Cowichan","Roadside","1",3,"B","soil.moisture.2.12cm..1m.2.",NA,5,"61"
"487","Cowichan","Roadside","2",1,"B","soil.moisture.2.12cm..1m.2.",NA,7,"61"
"489","Cowichan","Roadside","2",2,"B","soil.moisture.2.12cm..1m.2.",NA,1,"62"
"490","Cowichan","Roadside","2",3,"A","soil.moisture.2.12cm..1m.2.",NA,2,"62"
"491","Cowichan","Roadside","2",3,"B","soil.moisture.2.12cm..1m.2.",NA,3,"62"
"492","Cowichan","Roadside","3",1,"A","soil.moisture.2.12cm..1m.2.",NA,4,"62"
"493","Cowichan","Roadside","3",1,"B","soil.moisture.2.12cm..1m.2.",NA,5,"62"
"495","Cowichan","Roadside","3",2,"B","soil.moisture.2.12cm..1m.2.",NA,7,"62"
"497","Cowichan","Roadside","3",3,"B","soil.moisture.2.12cm..1m.2.",NA,1,"63"
"498","Cowichan","Drought Shelter Field","2",1,"A","soil.moisture.2.12cm..1m.2.",NA,2,"63"
"499","Stony Hill",NA,"1",1,"A","soil.moisture.2.12cm..1m.2.",20.3,3,"63"
"500","Stony Hill",NA,"1",1,"B","soil.moisture.2.12cm..1m.2.",20.3,4,"63"
"501","Stony Hill",NA,"1",2,"A","soil.moisture.2.12cm..1m.2.",NA,5,"63"
"503","Stony Hill",NA,"1",3,"A","soil.moisture.2.12cm..1m.2.",NA,7,"63"
"505","Stony Hill",NA,"2",1,"A","soil.moisture.2.12cm..1m.2.",NA,1,"64"
"506","Stony Hill",NA,"2",1,"B","soil.moisture.2.12cm..1m.2.",NA,2,"64"
"507","Stony Hill",NA,"2",2,"A","soil.moisture.2.12cm..1m.2.",NA,3,"64"
"508","Stony Hill",NA,"2",2,"B","soil.moisture.2.12cm..1m.2.",NA,4,"64"
"509","Stony Hill",NA,"2",3,"A","soil.moisture.2.12cm..1m.2.",NA,5,"64"
"511","Stony Hill",NA,"3",1,"A","soil.moisture.2.12cm..1m.2.",NA,7,"64"
"513","Stony Hill",NA,"3",2,"A","soil.moisture.2.12cm..1m.2.",NA,1,"65"
"514","Stony Hill",NA,"3",2,"B","soil.moisture.2.12cm..1m.2.",NA,2,"65"
"515","Stony Hill",NA,"3",3,"A","soil.moisture.2.12cm..1m.2.",NA,3,"65"
"516","Stony Hill",NA,"3",3,"B","soil.moisture.2.12cm..1m.2.",NA,4,"65"
"517","Stony Hill",NA,"4",1,"A","soil.moisture.2.12cm..1m.2.",NA,5,"65"
"519","Stony Hill",NA,"4",2,"A","soil.moisture.2.12cm..1m.2.",NA,7,"65"
"521","Stony Hill",NA,"4",3,"A","soil.moisture.2.12cm..1m.2.",NA,1,"66"
"522","Stony Hill",NA,"4",3,"B","soil.moisture.2.12cm..1m.2.",NA,2,"66"
"523","Thetis",NA,"1",1,"A","soil.moisture.2.12cm..1m.2.",NA,3,"66"
"524","Thetis",NA,"1",1,"B","soil.moisture.2.12cm..1m.2.",NA,4,"66"
"525","Thetis",NA,"1",2,"A","soil.moisture.2.12cm..1m.2.",NA,5,"66"
"527","Thetis",NA,"1",3,"A","soil.moisture.2.12cm..1m.2.",NA,7,"66"
"529","Thetis",NA,"2",1,"A","soil.moisture.2.12cm..1m.2.",NA,1,"67"
"530","Thetis",NA,"2",1,"B","soil.moisture.2.12cm..1m.2.",NA,2,"67"
"531","Thetis",NA,"2",2,"A","soil.moisture.2.12cm..1m.2.",NA,3,"67"
"532","Thetis",NA,"2",2,"B","soil.moisture.2.12cm..1m.2.",NA,4,"67"
"533","Thetis",NA,"2",3,"A","soil.moisture.2.12cm..1m.2.",NA,5,"67"
"535","Thetis",NA,"3",1,"A","soil.moisture.2.12cm..1m.2.",NA,7,"67"
"537","Thetis",NA,"3",2,"A","soil.moisture.2.12cm..1m.2.",NA,1,"68"
"538","Thetis",NA,"3",2,"B","soil.moisture.2.12cm..1m.2.",NA,2,"68"
"539","Thetis",NA,"3",3,"A","soil.moisture.2.12cm..1m.2.",NA,3,"68"
"540","Thetis",NA,"3",3,"B","soil.moisture.2.12cm..1m.2.",NA,4,"68"
"541","Thetis",NA,"4",1,"A","soil.moisture.2.12cm..1m.2.",NA,5,"68"
"543","Thetis",NA,"4",2,"A","soil.moisture.2.12cm..1m.2.",NA,7,"68"
"545","Thetis",NA,"4",3,"A","soil.moisture.2.12cm..1m.2.",NA,1,"69"
"546","Thetis",NA,"4",3,"B","soil.moisture.2.12cm..1m.2.",NA,2,"69"
"547","Thetis",NA,"5",1,"A","soil.moisture.2.12cm..1m.2.",NA,3,"69"
"548","Thetis",NA,"5",1,"B","soil.moisture.2.12cm..1m.2.",NA,4,"69"
"549","Thetis",NA,"5",2,"A","soil.moisture.2.12cm..1m.2.",NA,5,"69"
"551","Thetis",NA,"5",3,"A","soil.moisture.2.12cm..1m.2.",NA,7,"69"
